codigo,latitude,longitude,altitude,nome,estado,municipio,responsavel,ultima_att,tipo
2150057,-21.2333,-50.8333,450,FAZENDA FLORESTA,SÃO PAULO,VALPARAÍSO,DAEE-SP,2005-07-11 00:00:00,2
2150058,-21.2833,-50.35,390,BIRIGUI (EFNOB),SÃO PAULO,BIRIGUI,DAEE-SP,2005-07-11 00:00:00,2
2150059,-21.2,-50.4333,290,ARAÇATUBA (EFNOB),SÃO PAULO,ARAÇATUBA,DAEE-SP,2006-02-01 00:00:00,2
2150061,-21.25,-50.8667,390,VALPARAÍSO,SÃO PAULO,VALPARAÍSO,DAEE-SP,2005-04-27 00:00:00,2
2150062,-21.1833,-50.8,400,FAZENDA CASTELO,SÃO PAULO,VALPARAÍSO,DAEE-SP,2014-07-24 00:00:00,2
2150063,-21.9167,-50.5333,480,TUPÃ,SÃO PAULO,TUPÃ,DAEE-SP,2005-05-18 00:00:00,2
2150064,-21.7333,-50.7167,410,RINÓPOLIS,SÃO PAULO,RINÓPOLIS,DAEE-SP,2005-04-27 00:00:00,2
2150065,-21.3,-50.3333,376,BIRIGUI (ETA),SÃO PAULO,BIRIGUI,DAEE-SP,2005-07-11 00:00:00,2
2150067,-21.9,-50.6,510,UNIVERSO,SÃO PAULO,TUPÃ,DAEE-SP,2005-04-27 00:00:00,2
2150068,-21.25,-50.3833,450,FAZENDA ÁGUA BRANCA,SÃO PAULO,BIRIGUI,DAEE-SP,2005-07-11 00:00:00,2
2150069,-21.0667,-50.15,380,BURITAMA,SÃO PAULO,BURITAMA,DAEE-SP,2005-04-27 00:00:00,2
2150070,-21.4167,-50.8333,400,CARAMURU,SÃO PAULO,RUBIÁCEA,DAEE-SP,2005-04-27 00:00:00,2
2150071,-21.65,-50.0167,450,SANTA MARIA DO GURUPA,SÃO PAULO,PROMISSÃO,DAEE-SP,2005-04-27 00:00:00,2
2150074,-21.3833,-50.2167,370,GLICÉRIO,SÃO PAULO,GLICÉRIO,DAEE-SP,2005-07-11 00:00:00,2
2150075,-21.5,-50.3167,,BRAUNA,SÃO PAULO,BRAUNA,DAEE-SP,2005-07-11 00:00:00,2
2150076,-21.8,-50.05,440,SANTA AMÉRICA,SÃO PAULO,GETULINA,DAEE-SP,2005-04-27 00:00:00,2
2150079,-21.4,-50.4833,450,BILAC,SÃO PAULO,BILAC,DAEE-SP,2005-04-27 00:00:00,2
2150080,-21.9167,-50.7333,450,BASTOS (SCB),SÃO PAULO,BASTOS,DAEE-SP,2005-05-18 00:00:00,2
2150083,-21.3833,-50.1667,390,ENGENHEIRO NAPOLEÃO - NOB,SÃO PAULO,GLICÉRIO,DAEE-SP,2005-07-11 00:00:00,2
2150084,-21.2667,-50.2333,380,CAXIMBA,SÃO PAULO,GLICÉRIO,DAEE-SP,2005-07-11 00:00:00,2
2150085,-21.1167,-50.2,336,UHE NOVA AVANHANDAVA BARRAMENTO,SÃO PAULO,BURITAMA,AES TIETÊ,2021-02-23 00:00:00,2
2150086,-21.45,-50.15,387,PENÁPOLIS (SE) - PEN,SÃO PAULO,PENÁPOLIS,AES TIETÊ,2013-05-20 00:00:00,2
2150087,-21.3333,-50.95,340,USINA UNIVALEM,SÃO PAULO,VALPARAÍSO,DAEE-SP,2005-04-27 00:00:00,2
2150088,-21.5667,-50.45,470,CLEMENTINA,SÃO PAULO,CLEMENTINA,DAEE-SP,2005-04-27 00:00:00,2
2150089,-21.5167,-50.6167,430,FAZENDA PROGRESSO,SÃO PAULO,PIACATU,DAEE-SP,2005-04-27 00:00:00,2
2150090,-21.1333,-50.2,370,CÓRREGO SECO,SÃO PAULO,COROADOS,DAEE-SP,2006-06-12 00:00:00,2
2150091,-21.4042,-50.2658,427,UHE NOVA AVANHANDAVA COROADOS,SÃO PAULO,COROADOS,AES TIETÊ,2021-02-23 00:00:00,2
2150092,-21.9517,-50.9331,306.64,CGH QUATIARA JUSANTE,SÃO PAULO,RANCHARIA,QUATIARA,2021-09-03 00:00:00,2
2150093,-21.2878,-50.3331,,BIRIGUI URBANO,SÃO PAULO,BIRIGUI,DAEE-SP,2012-11-12 00:00:00,2
2150094,-21.2683,-50.335,,PASSAREDO,SÃO PAULO,BIRIGUI,DAEE-SP,2014-11-27 00:00:00,2
2150095,-21.2764,-50.3569,,PESQUE-PAGUE VENDRAME,SÃO PAULO,SANTO ANDRÉ,DAEE-SP,2014-11-27 00:00:00,2
2150096,-21.3019,-50.3619,,POÇO PROFUNDO,SÃO PAULO,SANTO ANDRÉ,DAEE-SP,2014-11-27 00:00:00,2
2150097,-21.781,-50.794,477,PARAPUA_Rua Sergipe,SÃO PAULO,PARAPUÃ,CEMADEN,,2
2150098,-21.2739,-50.2917,353,UHE TRÊS IRMÃOS CÓRREGO BAIXOTE,SÃO PAULO,BREJO ALEGRE,TIJOÁ,2018-11-01 00:00:00,2
2150099,-21.3408,-50.04,371,UHE NOVA ANVANHADAVA RIBEIRÃO LAJEADO,SÃO PAULO,PENÁPOLIS,AES TIETÊ,2021-02-23 00:00:00,2
2151002,-21.0333,-51.2,430,GUARAÇAÍ,SÃO PAULO,GUARAÇAÍ,DAEE-SP,2013-05-29 00:00:00,2
2151003,-21.0833,-51.3333,370,FAZENDA BOA VISTA,SÃO PAULO,MURUTINGA DO SUL,DAEE-SP,2005-05-18 00:00:00,2
2151004,-21.1,-51.4833,310,NOVA INDEPENDÊNCIA,SÃO PAULO,NOVA INDEPENDÊNCIA,DAEE-SP,2006-08-07 00:00:00,2
2151005,-21.6833,-51.0833,440,ADAMANTINA,SÃO PAULO,ADAMANTINA,DAEE-SP,2005-05-18 00:00:00,2
2151006,-21.3,-51.5667,330,MONTE CASTELO,SÃO PAULO,MONTE CASTELO,DAEE-SP,2005-05-18 00:00:00,2
2151007,-21.2833,-51.1333,370,TABAJARA,SÃO PAULO,LAVÍNIA,DAEE-SP,2005-05-18 00:00:00,2
2151008,-21.35,-51.85,265,PANORAMA,SÃO PAULO,PANORAMA,DAEE-SP,2005-05-18 00:00:00,2
2151009,-21.4333,-51.3667,390,SALGADO FILHO,SÃO PAULO,JUNQUEIRÓPOLIS,DAEE-SP,2005-05-18 00:00:00,2
2151010,-21.4667,-51.5333,415,DRACENA,SÃO PAULO,DRACENA,DAEE-SP,2005-05-18 00:00:00,2
2151011,-21.5667,-51.35,440,IRAPURU,SÃO PAULO,IRAPURU,DAEE-SP,2005-05-18 00:00:00,2
2151012,-21.7244,-51.2767,287,UHE PORTO PRIMAVERA FLORIDA PAULISTA,SÃO PAULO,FLÓRIDA PAULISTA,CESP,2015-03-11 00:00:00,2
2151013,-21.5,-51.15,380,FAZENDA SANTO ANDRÉ,SÃO PAULO,FLÓRIDA PAULISTA,DAEE-SP,2005-07-13 00:00:00,2
2151014,-21.7167,-51.45,340,BANDEIRANTES,SÃO PAULO,FLORA RICA,DAEE-SP,2005-05-18 00:00:00,2
2151016,-21.7833,-51.1833,370,MARIÁPOLIS,SÃO PAULO,MARIÁPOLIS,DAEE-SP,2005-05-18 00:00:00,2
2151017,-21.8333,-51.4833,340,EMILIANÓPOLIS,SÃO PAULO,PRESIDENTE BERNARDE,DAEE-SP,2005-05-18 00:00:00,2
2151019,-21.8833,-51.7333,420,PIQUEROBI,SÃO PAULO,PIQUEROBI,DAEE-SP,2005-05-18 00:00:00,2
2151020,-21.8833,-51.8333,400,PRESIDENTE VENCESLAU,SÃO PAULO,PRESIDENTE VENCESLA,DAEE-SP,2005-05-18 00:00:00,2
2151021,-21.95,-51.4167,440,ALFREDO MARCONDES,SÃO PAULO,ALFREDO MARCONDES,DAEE-SP,2005-05-18 00:00:00,2
2151022,-21.9667,-51.65,430,SANTO ANASTÁCIO (SANBRA),SÃO PAULO,SANTO ANASTÁCIO,DAEE-SP,2005-05-18 00:00:00,2
2151025,-21.6833,-51.0667,350,ADAMANTINA (ACCO),SÃO PAULO,ADAMANTINA,DAEE-SP,2005-05-18 00:00:00,2
2151029,-21.7333,-51.0167,460,LUCÉLIA (ACCO),SÃO PAULO,LUCÉLIA,DAEE-SP,2005-05-18 00:00:00,2
2151031,-21.5667,-51.35,,SÍTIO ORIENTE,SÃO PAULO,IRAPURU,DAEE-SP,2005-05-18 00:00:00,2
2151033,-21.85,-51.6,400,RIBEIRÃO DOS ÍNDIOS,SÃO PAULO,SANTO ANASTÁCIO,DAEE-SP,2005-05-18 00:00:00,2
2151034,-21.3833,-51.5667,400,CONVENTO SANTA MARIA,SÃO PAULO,TUPI PAULISTA,DAEE-SP,2005-05-18 00:00:00,2
2151035,-21.8333,-51.9833,350,CAIUÁ,SÃO PAULO,CAIUÁ,DAEE-SP,2005-05-18 00:00:00,2
2151036,-21.1333,-51.1,420,MIRANDÓPOLIS (EFNOB),SÃO PAULO,MIRANDÓPOLIS,DAEE-SP,2005-05-18 00:00:00,2
